"Color key: Green = second pass doneRed = made change on second passNo highlight = needs second pass",Emotion Words,Cautious,Satisfied,Hopeful,Frustrated,Anxious,Nervous,Threatened,Resigned,Alert,Accomplished,Fearful ,Dread,Curious,Confused,Resolve,Indifferent,Annoyance,Clueless,Apathy,Excited,Determined,Disgust,Triumph,Freaked out,Suspenseful,Stealth,Entertained
,,,,,,,,,,,,,,,Added words,,,,,,,,,,,,,
Notes,Participant #,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1.5,-8.5,-6.5,7,8.5,2,1.5,,0,-7.5,9.5,6.5,-4.5,,-3.5,,,,,,,,,,,,
,2,-2.5,-10,4.5,1.5,6,,,,0.5,-10,,,,-6.5,,-3.5,,,,,,,,,,,
fascination: not on scale ,3,1,-8,0,4.5,8,6,3.5,,2.5,-6.5,,,1.5,,,,,,,,,,,,,,
,4,0.5,-8.5,-5.5,8.5,6,,3,-1.5,-0.5,,,,,,,,,,,,,,,,,,
,5,1,-5.5,0,8.5,4,,.,,6.5,,,,,,,,,,,,,,,,,,
,6,4.5,-6.5,-6.5,1,7,,6,,,,,,0,,,,,,,,,,,,,,
,7,-1.5,-6.5,-9.5,3.5,6.5,,,,1,-8.5,8,,,,,,,,,,,,,,,,
"curious, resigned (one-time)",8,5,-3.5,-7.5,3,7,2,8.5,,0,,8.5,,,,,,-1,,,,,,,,,,
,9,3.5,-6,-7.5,7.5,3.5,6.5,,0.5,5.5,-6,6.5,,-1,,,,,4,,,,,,,,,
,10,0,-8.5,6.5,1.5,8.5,8,10,-2,1,-7.5,7.5,8.5,-0.5,,,,,,0,,,,,,,,
,11,3,-8.5,-3,2,7.5,5.5,8.5,,0,-8.5,4.5,4.5,,,,,2,,,,,,,,,,
,12,3,-2,-6,5.5,8,,,,0,,,4.5,-0.5,,,,,,,-0.5,,,,,,,
,13,7,-7,-0.5,2,8,8,7,,,-6,9.5,,-1.5,-2.5,,,,,,,,,,,,,
,14,8.5,-8.5,-9.5,9.5,5,2.5,,,,,,,-6,,,,,,,,,,,,,,
,15,5.5,,,8,7,2.5,3.5,-0.5,1,9,6.5,4.5,-1.5,,,,,,,,,,,,,,
,16,0.5,-7.5,-8.5,7,8.5,8.5,,6.5,-0.5,-9,8.5,,1,,,,7,,,1,-7,,,,,,
,17,4,-7.5,-4,3,6.5,,,,0.5,,,9,-0.5,,,,,,,,8,,,,,,
,18,3.5,-8,-2,7,8.5,,5,,4,,,-9.5,2,,,,,,,,,,,,,,
,19,6.5,-7.5,-1,7.5,7,7,3.5,,5.5,,4.5,,0,,,,1.5,,,,,-9,,,,,
,20,3.5,-6,-2,7,5.5,4.5,10,5.5,-5,-7.5,8.5,10,0.5,2.5,,,,,,,,,,,,,
,21,0,-9,-7.5,2.5,4.5,4.5,6.5,,0,,6.5,,1.5,2.5,,,,,,,,,,6,,,
,22,5,9.5,9.5,10,7.5,7.5,5,0.5,7.5,9.5,5,7.5,0,4.5,,,,,,,,,,,7,7,
,23,1.5,-5.5,-3.5,5.5,8,4.5,,,3,-6.5,6.5,,-0.5,,,,,,,,,,,,,,-0.5
